#id	name	fed	sex	birthyear	max_rating	month
2259532	Antoli Royo, Joaquin Miguel	ESP	M	1988	2463	2018-06
1246372	Antonica, Dragos-Andrei	ROU	M	2005	2385	2022-10
5200032	Antonio, Rogelio Jr	PHI	M	1962	2504	2015-02
24157031	Antonov, Andrey P.	RUS	M	1999	2303	2015-07
1401378	Antonsen, Mikkel	DEN	M	1973	2477	2015-02
504670	Anttila, Perttu	FIN	M	1986	2296	2020-03
5024366	Anurag, Mhamal	IND	M	1995	2504	2019-03
5093821	Anustoop Biswas	IND	M	2000	2312	2022-10
20697465	Apap, Hugo	MNC	M	1999	2213	2019-11
101133	Aparicio, Anibal	ARG	M	1947	2291	2017-05
7900872	Arab, Adlane	ALG	M	1980	2493	2021-11
13604040	Arabidze, Meri	GEO	F	1994	2466	2024-01
25006746	Aradhya, Garg	IND	M	2000	2412	2024-08
13301900	Arakeljan, Alexandr	ARM	M	1958	2354	2017-10
13301950	Arakeljan, Armen M.	ARM	M	1970	2348	2016-12
13600168	Arakhamia-Grant, Ketevan	SCO	F	1968	2393	2015-05
22200371	Aranaz Murillo, Amalia	ESP	F	1995	2319	2015-02
3400670	Arancibia Guzman, Eduardo	CHI	M	1973	2340	2024-08
2103931	Aranha Filho, Alvaro Z.	BRA	M	1979	2355	2017-06
9000038	Arbouche, Muhamed	MAR	M	1962	2208	2015-02
934976	Arbutina, Sinisa	SRB	M	1972	2358	2016-10
34105244	Arbuzov, Mikhail	RUS	M	2002	2227	2019-09
1323725	Arcuti, Davide	SUI	M	1999	2413	2024-04
4403177	Arenas, David	COL	M	1991	2496	2015-12
4202210	Argiroudis, Stamatis	GRE	M	1980	2312	2016-06
6700284	Arias, Lemnys A.	ESA	M	1978	2320	2015-02
3800660	Arias Gaviria, Mario Alexis	PER	M	1995	2368	2022-09
14202395	Aripov, Iskandar	UZB	M	1996	2246	2021-06
20687702	Ariza, Thomas	FRA	M	2001	2217	2017-03
46653252	Arjun C Krishnamachari	IND	M	2001	2284	2020-02
35018701	Arjun Kalyan	IND	M	2002	2537	2021-10
5048842	Arjun K	IND	M	1993	2232	2016-09
400270	Arkell, Keith C	ENG	M	1961	2510	2015-02
14501880	Armanda, Ivica	CRO	M	1973	2345	2016-09
4655893	Armbruster, Alexander	GER	M	1982	2319	2015-05
26091895	Arnaud, Aurelien	FRA	M	2002	2217	2019-02
2907127	Arnaudov, G. Petar	BUL	M	1986	2485	2015-07
12998656	Arndt, Magnus	GER	M	2001	2414	2023-04
4607074	Arndt, Stefan	GER	M	1967	2262	2015-05
4604300	Arnold, Lothar	GER	M	1959	2378	2015-03
24682810	Arnold, Max	GER	M	1991	2363	2025-10
13300474	Aronian, Levon	USA	M	1982	2809	2017-07
25072846	Aronyak Ghosh	IND	M	2003	2555	2024-11
46616454	Arora Honi	IND	M	2007	2270	2024-08
13601865	Aroshidze, Levan	ESP	M	1985	2547	2023-03
25077155	Arpan Das (Jr)	IND	M	2004	2423	2023-09
5007208	Arpan, Das	IND	M	1997	2293	2015-06
5056403	Arpita, Mukherjee	IND	F	2001	2309	2025-09
2283352	Arribas Lopez, Angel	ESP	M	1993	2559	2015-08
3501418	Arribas Robaina, Maritza	CUB	F	1971	2337	2016-04
14204991	Arutyunyan, Armen	UZB	M	2000	2255	2017-07
6402720	Arvelo Leo, Gian Carlo	DOM	M	1988	2241	2017-07
5007470	Arvind, C.J.	IND	M	1981	2232	2015-08
5008778	Arvind, Shastry	IND	M	1975	2247	2015-05
5084423	Aryan Chopra	IND	M	2001	2641	2024-05
13405764	Asadli, Vugar	AZE	M	2001	2586	2023-02
34170712	Asatryan, Gor	RUS	M	2003	2227	2019-04
1608797	Aschenbrenner, Robert	AUT	M	1980	2257	2015-02
14502550	Ascic, Pero	CRO	M	1965	2337	2018-04
433705	Asenov, Pavel	ENG	M	2001	2257	2016-12
12583111	Asgharzadeh, Mitra	IRI	F	2002	2207	2019-09
10618260	Ashraf, Shereif	EGY	M	1995	2351	2018-05
410110	Ashton, Adam G	ENG	M	1980	2390	2017-12
5021049	Ashwath, R.	IND	M	1991	2388	2019-04
5018137	Ashwin, Jayaram	IND	M	1990	2515	2015-09
1704583	Ask, Josef	SWE	M	1975	2214	2016-10
13708694	Assaubayeva, Bibisara	KAZ	F	2004	2513	2025-10
2110229	Assumpcao, Roberto	BRA	M	1952	2212	2019-10
1700847	Astrom, Goran	SWE	M	1965	2303	2015-03
1700499	Astrom, Robert	SWE	M	1967	2468	2015-03
1501950	Astrup, Kim Chr.	NOR	M	1972	2270	2024-11
22502203	Atakhan, Abtin	IRI	M	2005	2442	2023-09
6301606	Ataman, Alper Efe	TUR	M	1983	2208	2015-07
12000051	Atlas, Dmitry	AUT	M	1968	2266	2022-09
12000035	Atlas, Valery	AUT	M	1968	2461	2019-02
12501654	Atoufi, Pedram	IRI	M	1975	2284	2017-08
1635891	Atzl, Florian	AUT	M	1999	2211	2021-12
20642407	Aubry, Yannis	FRA	M	1995	2278	2016-04
1500279	Aulin-Jansson, Joran	NOR	M	1961	2328	2018-06
695882	Aumont, Alexandre	FRA	M	1993	2261	2018-01
35003038	Avdhoot Lendhe	IND	M	2001	2246	2017-08
13301012	Avetisian, Manvel	ARM	M	1980	2404	2017-01
4239873	Avramidou, Anastasia	GRE	F	2000	2321	2022-10
2201119	Ayas Fernandez, Antonio	ESP	M	1965	2273	2016-06
34557431	Aydin, Gulenay	TUR	F	2006	2271	2024-11
45010943	Ayush Sharma	IND	M	2005	2485	2025-02
35039482	Ayushh Ravikumar	IND	M	2004	2319	2020-02
13603027	Azaladze, Shota	GEO	M	1989	2499	2015-02
4902084	Baasansuren, Erdene	MGL	M	2003	2394	2024-10
623822	Babault, Patrice	FRA	M	1967	2424	2017-04
13304135	Babayan, Armine	ARM	F	1990	2221	2016-01
21804362	Babiarz, Arkadiusz	POL	M	2005	2232	2025-02
14509105	Babic, Zvonko	CRO	M	1986	2224	2018-02
14136244	Babiy, Igor	UKR	M	1983	2283	2016-10
4611942	Babrikowski, Peter, Dr.	GER	M	1956	2203	2015-02
13301993	Babujian, Levon	ARM	M	1986	2491	2019-08
301264	Babula, Vlastimil	CZE	M	1973	2577	2022-08
1271866	Babutzka, Jens Matthias	GER	M	1987	2255	2016-03
1632620	Bachlechner, Julian	AUT	M	1998	2214	2020-03
3700488	Bachmann, Axel	PAR	M	1989	2662	2017-07
1603795	Bachofner, Andreas	AUT	M	1972	2230	2020-04
13903284	Baciu, Diana	MDA	F	1994	2298	2018-01
4600932	Backwinkel, Paul	GER	M	1955	2330	2015-02
26076837	Bacrot, Alexandre	FRA	M	2004	2432	2025-04
13509926	Badelka, Olga	AUT	F	2002	2453	2021-12
24115762	Badmatsyrenov, Oleg	FID	M	1987	2475	2016-03
1501887	Bae, Torstein	NOR	M	1979	2437	2015-12
1405586	Baekgaard, Martin	DEN	M	1981	2333	2016-01
1330110	Baenziger, Fabian	SUI	M	2002	2457	2022-08
200107	Baert, Andy	BEL	M	1962	2210	2017-01
4637429	Baerwinkel, Tobias	GER	M	1981	2389	2016-11
4665589	Baeumer, Lars, Dr.	GER	M	1972	2275	2016-12
34173436	Bagdasaryan, Daniel	RUS	M	2000	2202	2016-11
13303139	Baghdasaryan, Vahe	ARM	M	1993	2501	2016-10
12530913	Bagheri, Maziar	IRI	M	1994	2361	2016-09
742570	Bagi, Mate	HUN	M	1995	2486	2020-02
3414841	Bahamondes Ortiz, Benjamin	CHI	M	1994	2308	2025-11
709000	Bai, Attila	HUN	M	1967	2269	2017-02
8602280	Bai, Jinshi	CHN	M	1999	2618	2020-01
14142317	Baidetskyi, Valentin	AUT	M	2002	2525	2025-02
4632877	Baier, Silvio, Dr.	GER	M	1978	2218	2015-04
655830	Bailet, Pierre	FRA	M	1988	2536	2017-08
24611093	Baisakow, Alexander	GER	M	1989	2238	2025-06
13403028	Bajarani, Ulvi	AZE	M	1995	2551	2015-11
2810301	Bakalchuk, Johnatan	ISR	M	1998	2471	2019-03
14102196	Baklan, Vladimir	UKR	M	1978	2652	2015-02
725773	Bakos, Balazs	HUN	M	1990	2423	2017-05
7601590	Bakr, Jwan	SYR	M	1983	2343	2015-02
13406396	Balajayeva, Khanim	AZE	F	2001	2404	2024-07
35053248	Balasubramaniam H	IND	M	2004	2298	2019-02
731374	Balazs, Gabor	HUN	M	1991	2401	2018-11
32017880	Balbuena Fuentes, Mario	ESP	M	1998	2329	2025-05
4630572	Balcerak, Jakob	GER	M	1979	2480	2020-04
4688210	Baldauf, Marco	GER	M	1990	2522	2021-11
803189	Baldazzi, Stefano	ITA	M	1965	2246	2017-05
4634799	Balduan, Markus	GER	M	1974	2333	2020-02
702161	Bali, Janos Dr.	HUN	M	1970	2293	2016-12
1120913	Balinski, Damian	POL	M	1989	2226	2023-10
718050	Balint, Vilmos	HUN	M	1983	2369	2016-08
1004085	Balje, Jan	NED	M	1973	2246	2017-01
4130081	Baljiev, Chingiz	RUS	M	1972	2308	2015-02
1208497	Balla, Tamas-Kristof	ROU	M	1984	2371	2017-07
707309	Ballai, Zsolt	HUN	M	1966	2287	2015-05
2201488	Ballester Sanz, Joaquin	ESP	M	1961	2202	2015-02
1300350	Ballmann, Martin	SUI	M	1968	2406	2018-02
2816429	Ballotti, Luca	ITA	M	2004	2261	2024-08
728446	Balog, Imre	HUN	M	1991	2626	2024-09
718939	Balogh, Csaba	HUN	M	1987	2659	2015-05
721883	Balogh, David	HUN	M	1993	2264	2019-04
14914395	Balogh, Peter	SVK	M	1997	2221	2015-05
4216920	Balokas, Dimitrios	GRE	M	1992	2269	2017-09
2208962	Baltar Iglesias, David	ESP	M	1958	2207	2022-03
12979090	Baltic, Fatih	GER	M	2002	2303	2021-11
14900076	Banas, Jan	SVK	M	1947	2291	2015-04
2024055	Banawa, Joel	USA	M	1989	2414	2024-01
5201632	Banawa, Jouaquin	PHI	M	1987	2268	2015-02
722570	Bandy, Attila	HUN	M	1979	2354	2015-03
4621646	Bangiev, Alexander	GER	M	1946	2401	2015-02
2065843	Banik, Siddharth	USA	M	2000	2341	2019-02
1400495	Bank Friis, Carsten	DEN	M	1960	2261	2015-05
1402889	Bank, Pelle	DEN	M	1971	2327	2018-03
722413	Banusz, Tamas	HUN	M	1989	2641	2021-09
32024991	Baquedano Coarasa, Pablo	ESP	M	2002	2274	2017-02
2803879	Bar, Roman	ISR	M	1982	2499	2019-03
24142565	Baraeva, Irina	RUS	F	1995	2238	2018-03
24142573	Niyazgulova, Marina	RUS	F	1995	2239	2018-03
2812690	Barak, Gil	ISR	M	2000	2229	2025-08
709956	Baranyai, Szabolcs Jr.	HUN	M	1977	2251	2015-11
25016555	Barath Kalyan M	IND	M	2000	2259	2022-02
25033450	Barath M	IND	M	2002	2378	2017-09
2115824	Barbosa, Evandro Amorim	BRA	M	1992	2523	2018-03
5201640	Barbosa, Oliver	PHI	M	1986	2557	2018-09
862452	Bardone, Lorenzo	ITA	M	1997	2253	2015-09
2803623	Barenboim, Grigory	ISR	M	1951	2203	2015-02
1006150	Barendse, Ted	NED	M	1956	2211	2017-02
12974188	Bargsten, Justus	GER	M	2001	2265	2025-10
24106410	Barkov, Kirill	RUS	M	1990	2221	2015-02
24112526	Barlakov, Arsalan	RUS	M	1986	2313	2016-02
14600021	Barle, Janez	SLO	M	1952	2347	2015-02
802085	Barletta, Mauro	ITA	M	1968	2224	2019-01
2809958	Baron, Tal	ISR	M	1992	2560	2016-08
26033607	Baroyan, Davit	FRA	M	2002	2218	2023-08
872555	Barp, Alberto	ITA	M	1999	2470	2024-04
22219030	Barranco Cara, Francisco Javier	ESP	M	1991	2249	2018-12
3609677	Barros Rivadeneira, Cristhian	ECU	M	1998	2385	2016-10
13304585	Barseghyan, Harutyun	FRA	M	1998	2519	2019-08
1131710	Barski, Radoslaw	POL	M	1993	2476	2019-03
4643461	Barthel, Ansgar	GER	M	1965	2249	2015-04
4625200	Bartolomaeus, Christian	GER	M	1975	2264	2015-10
315060	Bartos, Jan	CZE	M	1966	2252	2015-11
707287	Barva, Attila Dr.	HUN	M	1976	2392	2015-02
14117207	Baryshpolets, Andrey	UKR	M	1991	2609	2018-08
14106450	Bashilin, Roman	UKR	M	1969	2336	2015-10
13406809	Bashirli, Nail	AZE	M	2000	2414	2016-06
24197866	Baskakov, Egor	RUS	M	2001	2275	2018-08
24662402	Baskin, Robert	GER	M	1999	2474	2024-01
400505	Basman, Michael J	ENG	M	1946	2324	2015-02
26084074	Bassini, Emile	FRA	M	2004	2431	2025-09
866970	Basso, Pier Luigi	ITA	M	1997	2603	2020-09
4601700	Bastian, Herbert	GER	M	1952	2342	2015-03
4621042	Bastian, Martin	GER	M	1962	2200	2015-04
424854	Batchelor, Peter J	ENG	M	1996	2365	2016-12
4900847	Batchuluun, Tsegmed	MGL	M	1987	2571	2018-07
4901592	Baterdene, Tsogbayar	MGL	M	2000	2431	2015-07
403555	Bates, Richard A	ENG	M	1979	2397	2017-10
13602993	Batsiashvili, Nino	GEO	F	1987	2528	2018-03
621650	Flom, Gabriel	FRA	M	1986	2515	2018-07
2020467	Battey, Alexander	USA	M	1986	2352	2023-03
12801860	Batyte, Daiva	LTU	F	1980	2230	2017-10
4625030	Bauer, Andreas	GER	M	1996	2355	2025-10
24698741	Bauer, Bjoern-Benny	GER	M	1999	2276	2016-09
603767	Bauer, Christian	FRA	M	1977	2654	2019-03
4603877	Bauer, Peter	GER	M	1961	2227	2015-11
1639293	Bauer, Thomas	AUT	M	1996	2269	2019-01
6600247	Baules Rodriguez, Jorge Luis	PAN	M	1983	2401	2016-01
4611853	Baum, Bernd, Dr.	GER	M	1945	2342	2015-04
1195360	Baum, Jonasz	POL	M	2004	2487	2025-04
1602829	Baumegger, Siegfried	AUT	M	1972	2480	2016-01
1603337	Bawart, Markus	AUT	M	1970	2404	2015-03
2076608	Chinguun Bayaraa	MGL	M	2005	2206	2023-06
4900260	Bayarmaa, Bayarjargal	MGL	F	1995	2265	2015-05
4638905	Bayer, Bernhard	GER	M	1979	2446	2015-04
22275240	Bayo Milagro, Alvaro	ESP	M	2000	2333	2019-04
13406655	Bayramov, Elvin	AZE	M	1997	2337	2019-12
24119350	Bazeev, German	RUS	M	1993	2431	2018-04
3501728	Becerra Rivero, Julio	USA	M	1973	2556	2017-06
1602519	Beck, Hartmuth	AUT	M	1966	2369	2015-02
12938564	Becker, Dirk	GER	M	1998	2296	2022-10
4635736	Becker, Joerg	GER	M	1967	2219	2015-05
4628446	Becker, Marcel	GER	M	1978	2398	2015-02
12915564	Becker, Matthias	GER	M	1995	2339	2023-05
4664876	Becker, Stefan	GER	M	1967	2212	2015-02
4632478	Becking, Stephan	GER	M	1979	2434	2015-05
4137752	Bedia, Melor	RUS	M	1979	2455	2017-08
806730	Bednarich, Jan	ITA	M	1975	2288	2015-02
721107	Bednay, Dezso	HUN	M	1986	2292	2015-10
12936944	Beeck, Mats	GER	M	1998	2244	2024-04
201812	Beeckmans, Felix	BEL	M	1979	2324	2015-04
1030108	Beerdsen, Thomas	NED	M	1998	2538	2025-06
4602889	Behrens, Harald	GER	M	1958	2251	2015-06
4605322	Behrhorst, Frank	GER	M	1957	2265	2018-11
4614186	Beikert, Guenther, Dr.	GER	M	1968	2429	2015-03
12802085	Beinoras, Mindaugas	LTU	M	1987	2372	2020-03
11606029	Bekasovs, Rihards	LAT	M	2002	2206	2018-12
1043374	Bekedam, Tyro	NED	M	2001	2205	2023-01
701017	Bekefi, Laszlo	HUN	M	1960	2267	2017-05
24128317	Bekhovskiy, Mikhail	RUS	M	1999	2286	2015-06
